id,component,material_category,design_code,design_name,finish,texture,color_family,application
490,Chair Fabric,Fabric,INT-10490,Green Chair Fabric Style 490,Polished,Marble,Green,Living Room
491,Wood Flooring,Wood,INT-10491,Mustard Wood Flooring Style 491,Natural,Marble,Mustard,Office
492,Chair Fabric,Fabric,INT-10492,Navy Chair Fabric Style 492,High Gloss,Smooth,Navy,Living Room
493,Sofa Fabric,Fabric,INT-10493,Light Oak Sofa Fabric Style 493,Polished,Linear,Light Oak,Office
494,Decor Panel,Panel,INT-10494,Yellow Decor Panel Style 494,Polished,Smooth,Yellow,Office
495,Chair Fabric,Fabric,INT-10495,Blue Chair Fabric Style 495,High Gloss,Fabric,Blue,Dining
496,Wood Flooring,Wood,INT-10496,Cream Wood Flooring Style 496,Polished,Concrete,Cream,Office
497,Floor Tile,Tile,INT-10497,White Floor Tile Style 497,High Gloss,Concrete,White,Lobby
498,Wallpaper,Wallpaper,INT-10498,Blue Wallpaper Style 498,Natural,Linear,Blue,Office
499,Wallpaper,Wallpaper,INT-10499,Blue Wallpaper Style 499,Matte,Woodgrain,Blue,Dining
500,False Ceiling,Gypsum,INT-10500,Cream False Ceiling Style 500,Textured,Fabric,Cream,Living Room
501,False Ceiling,Gypsum,INT-10501,Mustard False Ceiling Style 501,Satin,Pattern,Mustard,Kitchen
502,Decor Panel,Panel,INT-10502,Navy Decor Panel Style 502,Polished,Concrete,Navy,Kitchen
503,Wardrobe Finish,Laminate,INT-10503,Mahogany Wardrobe Finish Style 503,Natural,Stone,Mahogany,Lobby
504,Wardrobe Finish,Laminate,INT-10504,Light Oak Wardrobe Finish Style 504,Polished,Concrete,Light Oak,Kitchen
505,Wallpaper,Wallpaper,INT-10505,Red Wallpaper Style 505,Natural,Linear,Red,Kitchen
506,TV Unit Panel,Panel,INT-10506,Green TV Unit Panel Style 506,Textured,Fabric,Green,Lobby
507,Decor Panel,Panel,INT-10507,Red Decor Panel Style 507,Satin,Woodgrain,Red,Kitchen
508,Wall Paint,Paint,INT-10508,Terracotta Wall Paint Style 508,Matte,Marble,Terracotta,Dining
509,Wood Flooring,Wood,INT-10509,Light Oak Wood Flooring Style 509,High Gloss,Marble,Light Oak,Kitchen
510,Kitchen Cabinet,Laminate,INT-10510,Mahogany Kitchen Cabinet Style 510,Satin,Linear,Mahogany,Bathroom
511,Decor Panel,Panel,INT-10511,Mahogany Decor Panel Style 511,Textured,Linear,Mahogany,Dining
512,Floor Tile,Tile,INT-10512,Beige Floor Tile Style 512,Natural,Concrete,Beige,Bathroom
513,Ceiling Panel,Panel,INT-10513,Walnut Ceiling Panel Style 513,Satin,Pattern,Walnut,Living Room
514,Wood Flooring,Wood,INT-10514,Blue Wood Flooring Style 514,Textured,Fabric,Blue,Living Room
515,Wardrobe Finish,Laminate,INT-10515,Mahogany Wardrobe Finish Style 515,Natural,Marble,Mahogany,Lobby
516,False Ceiling,Gypsum,INT-10516,Mahogany False Ceiling Style 516,Textured,Smooth,Mahogany,Office
517,Wood Flooring,Wood,INT-10517,Mahogany Wood Flooring Style 517,Matte,Smooth,Mahogany,Bathroom
518,Wood Flooring,Wood,INT-10518,Cream Wood Flooring Style 518,Textured,Marble,Cream,Bathroom
519,Marble Flooring,Marble,INT-10519,Navy Marble Flooring Style 519,Natural,Pattern,Navy,Living Room
520,Glass Partition,Glass,INT-10520,Mustard Glass Partition Style 520,Textured,Stone,Mustard,Dining
521,Wardrobe Finish,Laminate,INT-10521,Light Oak Wardrobe Finish Style 521,Satin,Smooth,Light Oak,Bedroom
522,Floor Tile,Tile,INT-10522,Oak Floor Tile Style 522,High Gloss,Fabric,Oak,Lobby
523,Wall Paint,Paint,INT-10523,Teak Wall Paint Style 523,Matte,Stone,Teak,Bedroom
524,Chair Fabric,Fabric,INT-10524,Cream Chair Fabric Style 524,Satin,Fabric,Cream,Bedroom
525,TV Unit Panel,Panel,INT-10525,Blue TV Unit Panel Style 525,Polished,Pattern,Blue,Bedroom
526,Sofa Fabric,Fabric,INT-10526,Yellow Sofa Fabric Style 526,High Gloss,Woodgrain,Yellow,Bathroom
527,Ceiling Panel,Panel,INT-10527,Blue Ceiling Panel Style 527,Gloss,Linear,Blue,Bathroom
528,Wood Flooring,Wood,INT-10528,Charcoal Wood Flooring Style 528,Satin,Marble,Charcoal,Kitchen
529,Wallpaper,Wallpaper,INT-10529,Beige Wallpaper Style 529,Satin,Marble,Beige,Bedroom
530,Floor Tile,Tile,INT-10530,Terracotta Floor Tile Style 530,Textured,Linear,Terracotta,Living Room
531,Decor Panel,Panel,INT-10531,Olive Decor Panel Style 531,Gloss,Marble,Olive,Dining
532,TV Unit Panel,Panel,INT-10532,Mustard TV Unit Panel Style 532,Satin,Marble,Mustard,Bathroom
533,Wardrobe Panel,Panel,INT-10533,Olive Wardrobe Panel Style 533,Textured,Stone,Olive,Office
534,Marble Flooring,Marble,INT-10534,Mahogany Marble Flooring Style 534,Satin,Stone,Mahogany,Living Room
535,Glass Partition,Glass,INT-10535,Blue Glass Partition Style 535,Satin,Linear,Blue,Bedroom
536,False Ceiling,Gypsum,INT-10536,Teak False Ceiling Style 536,Gloss,Concrete,Teak,Dining
537,Wardrobe Panel,Panel,INT-10537,Olive Wardrobe Panel Style 537,Matte,Smooth,Olive,Office
538,Wardrobe Panel,Panel,INT-10538,Yellow Wardrobe Panel Style 538,Matte,Stone,Yellow,Living Room
539,Wood Flooring,Wood,INT-10539,Grey Wood Flooring Style 539,Textured,Woodgrain,Grey,Kitchen
540,Table Surface,Wood,INT-10540,White Table Surface Style 540,Gloss,Concrete,White,Living Room
541,False Ceiling,Gypsum,INT-10541,Teak False Ceiling Style 541,Natural,Stone,Teak,Kitchen
542,Wallpaper,Wallpaper,INT-10542,Yellow Wallpaper Style 542,Textured,Smooth,Yellow,Bathroom
543,Wall Panel,Panel,INT-10543,Beige Wall Panel Style 543,Matte,Fabric,Beige,Living Room
544,Sofa Fabric,Fabric,INT-10544,Charcoal Sofa Fabric Style 544,Gloss,Woodgrain,Charcoal,Bathroom
545,TV Unit Panel,Panel,INT-10545,Oak TV Unit Panel Style 545,Matte,Linear,Oak,Office
546,Marble Flooring,Marble,INT-10546,Mahogany Marble Flooring Style 546,Textured,Woodgrain,Mahogany,Bathroom
547,Wood Flooring,Wood,INT-10547,Navy Wood Flooring Style 547,Gloss,Smooth,Navy,Lobby
548,Floor Tile,Tile,INT-10548,Light Oak Floor Tile Style 548,High Gloss,Stone,Light Oak,Bathroom
549,Sofa Fabric,Fabric,INT-10549,Yellow Sofa Fabric Style 549,Matte,Smooth,Yellow,Bathroom
550,False Ceiling,Gypsum,INT-10550,Ivory False Ceiling Style 550,High Gloss,Fabric,Ivory,Office
551,Floor Tile,Tile,INT-10551,Teak Floor Tile Style 551,High Gloss,Fabric,Teak,Dining
552,Sofa Fabric,Fabric,INT-10552,Mustard Sofa Fabric Style 552,Satin,Marble,Mustard,Kitchen
553,Wall Panel,Panel,INT-10553,Black Wall Panel Style 553,Matte,Marble,Black,Lobby
554,Ceiling Panel,Panel,INT-10554,White Ceiling Panel Style 554,High Gloss,Linear,White,Bathroom
555,Glass Partition,Glass,INT-10555,Olive Glass Partition Style 555,Gloss,Linear,Olive,Dining
556,Decor Panel,Panel,INT-10556,Terracotta Decor Panel Style 556,Matte,Linear,Terracotta,Dining
557,Sofa Fabric,Fabric,INT-10557,Navy Sofa Fabric Style 557,Natural,Concrete,Navy,Bathroom
558,Kitchen Countertop,Stone,INT-10558,Light Oak Kitchen Countertop Style 558,Natural,Woodgrain,Light Oak,Bedroom
559,Glass Partition,Glass,INT-10559,Grey Glass Partition Style 559,Textured,Concrete,Grey,Lobby
560,Wall Panel,Panel,INT-10560,Mahogany Wall Panel Style 560,Textured,Smooth,Mahogany,Lobby
561,TV Unit Panel,Panel,INT-10561,Oak TV Unit Panel Style 561,Satin,Concrete,Oak,Bathroom
562,Sofa Fabric,Fabric,INT-10562,Cream Sofa Fabric Style 562,Satin,Fabric,Cream,Bathroom
563,Decor Panel,Panel,INT-10563,Oak Decor Panel Style 563,Textured,Concrete,Oak,Kitchen
564,Ceiling Panel,Panel,INT-10564,Teak Ceiling Panel Style 564,Textured,Fabric,Teak,Bedroom
565,Ceiling Panel,Panel,INT-10565,Light Oak Ceiling Panel Style 565,Polished,Concrete,Light Oak,Living Room
566,Glass Partition,Glass,INT-10566,Beige Glass Partition Style 566,Textured,Smooth,Beige,Dining
567,False Ceiling,Gypsum,INT-10567,Oak False Ceiling Style 567,High Gloss,Linear,Oak,Kitchen
568,Wallpaper,Wallpaper,INT-10568,Mustard Wallpaper Style 568,High Gloss,Concrete,Mustard,Bathroom
569,Marble Flooring,Marble,INT-10569,Green Marble Flooring Style 569,Matte,Fabric,Green,Dining
570,Marble Flooring,Marble,INT-10570,Mustard Marble Flooring Style 570,Gloss,Pattern,Mustard,Dining
571,Wood Flooring,Wood,INT-10571,Sand Wood Flooring Style 571,Matte,Pattern,Sand,Lobby
572,Sofa Fabric,Fabric,INT-10572,Green Sofa Fabric Style 572,Matte,Pattern,Green,Bedroom
573,Kitchen Countertop,Stone,INT-10573,Yellow Kitchen Countertop Style 573,Natural,Fabric,Yellow,Lobby
574,Marble Flooring,Marble,INT-10574,Terracotta Marble Flooring Style 574,High Gloss,Fabric,Terracotta,Dining
575,Ceiling Panel,Panel,INT-10575,Sand Ceiling Panel Style 575,Matte,Concrete,Sand,Lobby
576,False Ceiling,Gypsum,INT-10576,Charcoal False Ceiling Style 576,Satin,Woodgrain,Charcoal,Bathroom
577,Kitchen Cabinet,Laminate,INT-10577,Mahogany Kitchen Cabinet Style 577,Polished,Fabric,Mahogany,Bedroom
578,Wardrobe Panel,Panel,INT-10578,Charcoal Wardrobe Panel Style 578,Matte,Smooth,Charcoal,Office
579,Wood Flooring,Wood,INT-10579,Cream Wood Flooring Style 579,Natural,Smooth,Cream,Lobby
580,Glass Partition,Glass,INT-10580,Ivory Glass Partition Style 580,Natural,Linear,Ivory,Office
581,Wardrobe Panel,Panel,INT-10581,Red Wardrobe Panel Style 581,Matte,Linear,Red,Bedroom
582,Wardrobe Panel,Panel,INT-10582,Grey Wardrobe Panel Style 582,Natural,Fabric,Grey,Office
583,Kitchen Cabinet,Laminate,INT-10583,Walnut Kitchen Cabinet Style 583,Gloss,Marble,Walnut,Kitchen
584,Wardrobe Finish,Laminate,INT-10584,Ivory Wardrobe Finish Style 584,Satin,Marble,Ivory,Kitchen
585,Sofa Fabric,Fabric,INT-10585,Sand Sofa Fabric Style 585,Matte,Concrete,Sand,Office
586,TV Unit Panel,Panel,INT-10586,Olive TV Unit Panel Style 586,Natural,Pattern,Olive,Dining
587,Wall Paint,Paint,INT-10587,Black Wall Paint Style 587,Natural,Fabric,Black,Bathroom
588,Wardrobe Finish,Laminate,INT-10588,Ivory Wardrobe Finish Style 588,Gloss,Linear,Ivory,Office
589,False Ceiling,Gypsum,INT-10589,Blue False Ceiling Style 589,Natural,Stone,Blue,Dining
590,TV Unit Panel,Panel,INT-10590,Ivory TV Unit Panel Style 590,Natural,Concrete,Ivory,Lobby
591,Sofa Fabric,Fabric,INT-10591,Sand Sofa Fabric Style 591,Natural,Woodgrain,Sand,Bedroom
592,Chair Fabric,Fabric,INT-10592,Navy Chair Fabric Style 592,Textured,Woodgrain,Navy,Office
593,Decor Panel,Panel,INT-10593,Sand Decor Panel Style 593,Textured,Smooth,Sand,Kitchen
594,Ceiling Panel,Panel,INT-10594,Red Ceiling Panel Style 594,Textured,Concrete,Red,Bathroom
595,Wood Flooring,Wood,INT-10595,Blue Wood Flooring Style 595,Matte,Pattern,Blue,Bathroom
596,Table Surface,Wood,INT-10596,Olive Table Surface Style 596,Textured,Linear,Olive,Lobby
597,Wallpaper,Wallpaper,INT-10597,Blue Wallpaper Style 597,High Gloss,Smooth,Blue,Bathroom
598,Decor Panel,Panel,INT-10598,Light Oak Decor Panel Style 598,Natural,Fabric,Light Oak,Dining
599,Marble Flooring,Marble,INT-10599,Red Marble Flooring Style 599,Satin,Woodgrain,Red,Kitchen
600,Kitchen Cabinet,Laminate,INT-10600,Beige Kitchen Cabinet Style 600,Natural,Concrete,Beige,Bathroom
601,Wall Panel,Panel,INT-10601,Sand Wall Panel Style 601,High Gloss,Linear,Sand,Bedroom
602,Kitchen Cabinet,Laminate,INT-10602,Blue Kitchen Cabinet Style 602,Matte,Fabric,Blue,Office
603,TV Unit Panel,Panel,INT-10603,Blue TV Unit Panel Style 603,High Gloss,Woodgrain,Blue,Office
604,Sofa Fabric,Fabric,INT-10604,Olive Sofa Fabric Style 604,Natural,Woodgrain,Olive,Dining
605,Kitchen Countertop,Stone,INT-10605,Olive Kitchen Countertop Style 605,High Gloss,Pattern,Olive,Lobby
606,False Ceiling,Gypsum,INT-10606,Blue False Ceiling Style 606,High Gloss,Concrete,Blue,Office
607,Wallpaper,Wallpaper,INT-10607,Yellow Wallpaper Style 607,Matte,Fabric,Yellow,Bedroom
608,Chair Fabric,Fabric,INT-10608,Beige Chair Fabric Style 608,Matte,Marble,Beige,Bedroom
609,Wood Flooring,Wood,INT-10609,Sand Wood Flooring Style 609,Satin,Fabric,Sand,Bathroom
610,False Ceiling,Gypsum,INT-10610,Teak False Ceiling Style 610,Gloss,Concrete,Teak,Kitchen
611,Chair Fabric,Fabric,INT-10611,Navy Chair Fabric Style 611,High Gloss,Pattern,Navy,Lobby
612,False Ceiling,Gypsum,INT-10612,Cream False Ceiling Style 612,High Gloss,Smooth,Cream,Dining
613,Wood Flooring,Wood,INT-10613,Mustard Wood Flooring Style 613,Natural,Smooth,Mustard,Living Room
614,Sofa Fabric,Fabric,INT-10614,Navy Sofa Fabric Style 614,Natural,Concrete,Navy,Office
615,Kitchen Countertop,Stone,INT-10615,Yellow Kitchen Countertop Style 615,Natural,Linear,Yellow,Dining
616,Kitchen Cabinet,Laminate,INT-10616,Cream Kitchen Cabinet Style 616,High Gloss,Concrete,Cream,Dining
617,Kitchen Countertop,Stone,INT-10617,Olive Kitchen Countertop Style 617,Satin,Linear,Olive,Dining
618,Wardrobe Panel,Panel,INT-10618,White Wardrobe Panel Style 618,Matte,Woodgrain,White,Bathroom
619,Glass Partition,Glass,INT-10619,Cream Glass Partition Style 619,Textured,Marble,Cream,Lobby
620,Floor Tile,Tile,INT-10620,Black Floor Tile Style 620,Satin,Smooth,Black,Office
621,Decor Panel,Panel,INT-10621,Oak Decor Panel Style 621,Polished,Woodgrain,Oak,Kitchen
622,TV Unit Panel,Panel,INT-10622,Walnut TV Unit Panel Style 622,Matte,Linear,Walnut,Living Room
623,TV Unit Panel,Panel,INT-10623,Ivory TV Unit Panel Style 623,High Gloss,Linear,Ivory,Kitchen
624,Wardrobe Panel,Panel,INT-10624,Walnut Wardrobe Panel Style 624,Polished,Stone,Walnut,Lobby
625,Wall Paint,Paint,INT-10625,Olive Wall Paint Style 625,Matte,Woodgrain,Olive,Dining
626,Kitchen Cabinet,Laminate,INT-10626,Sand Kitchen Cabinet Style 626,Natural,Stone,Sand,Living Room
627,Kitchen Countertop,Stone,INT-10627,Grey Kitchen Countertop Style 627,Gloss,Stone,Grey,Bathroom
628,False Ceiling,Gypsum,INT-10628,Grey False Ceiling Style 628,Satin,Pattern,Grey,Bathroom
629,Kitchen Countertop,Stone,INT-10629,Light Oak Kitchen Countertop Style 629,Satin,Smooth,Light Oak,Bathroom
630,Wall Paint,Paint,INT-10630,Mustard Wall Paint Style 630,Matte,Concrete,Mustard,Kitchen
631,Chair Fabric,Fabric,INT-10631,Green Chair Fabric Style 631,Textured,Stone,Green,Living Room
632,TV Unit Panel,Panel,INT-10632,White TV Unit Panel Style 632,Matte,Stone,White,Dining
633,Ceiling Panel,Panel,INT-10633,Terracotta Ceiling Panel Style 633,High Gloss,Fabric,Terracotta,Living Room
634,Wall Panel,Panel,INT-10634,Cream Wall Panel Style 634,High Gloss,Linear,Cream,Office
635,Ceiling Panel,Panel,INT-10635,Sand Ceiling Panel Style 635,Natural,Fabric,Sand,Lobby
636,Wardrobe Panel,Panel,INT-10636,Charcoal Wardrobe Panel Style 636,Natural,Stone,Charcoal,Dining
637,Glass Partition,Glass,INT-10637,White Glass Partition Style 637,Gloss,Fabric,White,Bathroom
638,Wardrobe Panel,Panel,INT-10638,White Wardrobe Panel Style 638,Textured,Linear,White,Dining
639,Decor Panel,Panel,INT-10639,Olive Decor Panel Style 639,Polished,Linear,Olive,Kitchen
640,Wood Flooring,Wood,INT-10640,Grey Wood Flooring Style 640,Gloss,Woodgrain,Grey,Living Room
641,TV Unit Panel,Panel,INT-10641,Light Oak TV Unit Panel Style 641,High Gloss,Concrete,Light Oak,Office
642,False Ceiling,Gypsum,INT-10642,Walnut False Ceiling Style 642,Natural,Fabric,Walnut,Bathroom
643,Floor Tile,Tile,INT-10643,Beige Floor Tile Style 643,High Gloss,Smooth,Beige,Kitchen
644,Ceiling Panel,Panel,INT-10644,Mustard Ceiling Panel Style 644,Natural,Woodgrain,Mustard,Living Room
645,Wood Flooring,Wood,INT-10645,Oak Wood Flooring Style 645,Satin,Fabric,Oak,Bathroom
646,Sofa Fabric,Fabric,INT-10646,Light Oak Sofa Fabric Style 646,Natural,Pattern,Light Oak,Bathroom
647,Chair Fabric,Fabric,INT-10647,White Chair Fabric Style 647,Matte,Concrete,White,Bathroom
648,Sofa Fabric,Fabric,INT-10648,Terracotta Sofa Fabric Style 648,Gloss,Smooth,Terracotta,Bathroom
649,Wardrobe Finish,Laminate,INT-10649,Sand Wardrobe Finish Style 649,Gloss,Stone,Sand,Living Room
650,Wall Paint,Paint,INT-10650,Walnut Wall Paint Style 650,Natural,Smooth,Walnut,Lobby
651,False Ceiling,Gypsum,INT-10651,Olive False Ceiling Style 651,Gloss,Stone,Olive,Kitchen
652,False Ceiling,Gypsum,INT-10652,Mustard False Ceiling Style 652,Textured,Fabric,Mustard,Bedroom
653,False Ceiling,Gypsum,INT-10653,Sand False Ceiling Style 653,Polished,Marble,Sand,Lobby
654,Wood Flooring,Wood,INT-10654,Mahogany Wood Flooring Style 654,Textured,Pattern,Mahogany,Kitchen
655,Decor Panel,Panel,INT-10655,Cream Decor Panel Style 655,Gloss,Concrete,Cream,Dining
656,Wall Paint,Paint,INT-10656,Grey Wall Paint Style 656,Matte,Fabric,Grey,Bathroom
657,Ceiling Panel,Panel,INT-10657,Yellow Ceiling Panel Style 657,Polished,Woodgrain,Yellow,Lobby
658,Chair Fabric,Fabric,INT-10658,Walnut Chair Fabric Style 658,High Gloss,Fabric,Walnut,Lobby
659,Sofa Fabric,Fabric,INT-10659,Charcoal Sofa Fabric Style 659,Natural,Linear,Charcoal,Bedroom
660,False Ceiling,Gypsum,INT-10660,Mahogany False Ceiling Style 660,Matte,Linear,Mahogany,Kitchen
661,TV Unit Panel,Panel,INT-10661,Cream TV Unit Panel Style 661,Polished,Woodgrain,Cream,Bedroom
662,Wardrobe Finish,Laminate,INT-10662,Ivory Wardrobe Finish Style 662,Textured,Stone,Ivory,Bathroom
663,Kitchen Cabinet,Laminate,INT-10663,Green Kitchen Cabinet Style 663,High Gloss,Stone,Green,Lobby
664,Floor Tile,Tile,INT-10664,Red Floor Tile Style 664,High Gloss,Stone,Red,Office
665,TV Unit Panel,Panel,INT-10665,Yellow TV Unit Panel Style 665,High Gloss,Linear,Yellow,Living Room
666,Wood Flooring,Wood,INT-10666,Teak Wood Flooring Style 666,Matte,Linear,Teak,Bathroom
667,Marble Flooring,Marble,INT-10667,Yellow Marble Flooring Style 667,Natural,Woodgrain,Yellow,Living Room
668,Sofa Fabric,Fabric,INT-10668,Ivory Sofa Fabric Style 668,Textured,Linear,Ivory,Office
669,Table Surface,Wood,INT-10669,Beige Table Surface Style 669,Gloss,Concrete,Beige,Dining
670,Chair Fabric,Fabric,INT-10670,Yellow Chair Fabric Style 670,Satin,Woodgrain,Yellow,Dining
671,Decor Panel,Panel,INT-10671,Cream Decor Panel Style 671,Satin,Stone,Cream,Bathroom
672,Glass Partition,Glass,INT-10672,Ivory Glass Partition Style 672,Polished,Marble,Ivory,Dining
673,Wall Panel,Panel,INT-10673,Olive Wall Panel Style 673,Gloss,Concrete,Olive,Lobby
674,False Ceiling,Gypsum,INT-10674,Red False Ceiling Style 674,Textured,Fabric,Red,Lobby
675,Table Surface,Wood,INT-10675,Mustard Table Surface Style 675,Satin,Stone,Mustard,Living Room
676,Decor Panel,Panel,INT-10676,Olive Decor Panel Style 676,Satin,Stone,Olive,Dining
677,Chair Fabric,Fabric,INT-10677,Navy Chair Fabric Style 677,High Gloss,Pattern,Navy,Bedroom
678,Wallpaper,Wallpaper,INT-10678,Black Wallpaper Style 678,Satin,Marble,Black,Living Room
679,Wall Paint,Paint,INT-10679,Olive Wall Paint Style 679,High Gloss,Stone,Olive,Bathroom
680,False Ceiling,Gypsum,INT-10680,Yellow False Ceiling Style 680,Textured,Woodgrain,Yellow,Dining
681,Wardrobe Panel,Panel,INT-10681,Teak Wardrobe Panel Style 681,Gloss,Linear,Teak,Living Room
682,Wardrobe Finish,Laminate,INT-10682,Navy Wardrobe Finish Style 682,High Gloss,Concrete,Navy,Bathroom
683,Wardrobe Panel,Panel,INT-10683,White Wardrobe Panel Style 683,Natural,Linear,White,Office
684,Decor Panel,Panel,INT-10684,Walnut Decor Panel Style 684,Polished,Linear,Walnut,Lobby
685,Wardrobe Panel,Panel,INT-10685,Cream Wardrobe Panel Style 685,Textured,Fabric,Cream,Kitchen
686,TV Unit Panel,Panel,INT-10686,Walnut TV Unit Panel Style 686,High Gloss,Concrete,Walnut,Dining
687,Decor Panel,Panel,INT-10687,Grey Decor Panel Style 687,Gloss,Pattern,Grey,Bedroom
688,Marble Flooring,Marble,INT-10688,Ivory Marble Flooring Style 688,Textured,Smooth,Ivory,Living Room
689,TV Unit Panel,Panel,INT-10689,Red TV Unit Panel Style 689,Textured,Woodgrain,Red,Living Room
690,Kitchen Cabinet,Laminate,INT-10690,Ivory Kitchen Cabinet Style 690,Matte,Pattern,Ivory,Bedroom
691,TV Unit Panel,Panel,INT-10691,Ivory TV Unit Panel Style 691,Natural,Concrete,Ivory,Bedroom
692,Wardrobe Finish,Laminate,INT-10692,Charcoal Wardrobe Finish Style 692,Natural,Marble,Charcoal,Office
693,Wardrobe Finish,Laminate,INT-10693,White Wardrobe Finish Style 693,Natural,Smooth,White,Office
694,Marble Flooring,Marble,INT-10694,Yellow Marble Flooring Style 694,Polished,Concrete,Yellow,Lobby
695,Kitchen Countertop,Stone,INT-10695,Sand Kitchen Countertop Style 695,Textured,Smooth,Sand,Lobby
696,Ceiling Panel,Panel,INT-10696,Green Ceiling Panel Style 696,Matte,Fabric,Green,Kitchen
697,False Ceiling,Gypsum,INT-10697,Red False Ceiling Style 697,High Gloss,Fabric,Red,Bedroom
698,Marble Flooring,Marble,INT-10698,White Marble Flooring Style 698,Textured,Marble,White,Bathroom
699,Wall Paint,Paint,INT-10699,Mahogany Wall Paint Style 699,Polished,Pattern,Mahogany,Kitchen
700,Table Surface,Wood,INT-10700,Yellow Table Surface Style 700,Gloss,Marble,Yellow,Living Room
701,Wallpaper,Wallpaper,INT-10701,Blue Wallpaper Style 701,Gloss,Smooth,Blue,Lobby
702,Sofa Fabric,Fabric,INT-10702,Beige Sofa Fabric Style 702,Polished,Smooth,Beige,Office
703,Wall Panel,Panel,INT-10703,Cream Wall Panel Style 703,Satin,Marble,Cream,Lobby
704,Decor Panel,Panel,INT-10704,Ivory Decor Panel Style 704,Polished,Fabric,Ivory,Dining
705,Wardrobe Finish,Laminate,INT-10705,Yellow Wardrobe Finish Style 705,Gloss,Marble,Yellow,Office
706,Wallpaper,Wallpaper,INT-10706,Navy Wallpaper Style 706,Satin,Stone,Navy,Bedroom
707,Wardrobe Panel,Panel,INT-10707,White Wardrobe Panel Style 707,Natural,Stone,White,Bathroom
708,Glass Partition,Glass,INT-10708,Mahogany Glass Partition Style 708,Polished,Woodgrain,Mahogany,Dining
709,Decor Panel,Panel,INT-10709,Teak Decor Panel Style 709,Satin,Fabric,Teak,Kitchen
710,Wall Paint,Paint,INT-10710,Red Wall Paint Style 710,Textured,Concrete,Red,Kitchen
711,Wardrobe Finish,Laminate,INT-10711,White Wardrobe Finish Style 711,Natural,Marble,White,Dining
712,TV Unit Panel,Panel,INT-10712,Terracotta TV Unit Panel Style 712,Matte,Fabric,Terracotta,Kitchen
713,False Ceiling,Gypsum,INT-10713,White False Ceiling Style 713,Matte,Woodgrain,White,Bedroom
714,Wallpaper,Wallpaper,INT-10714,Beige Wallpaper Style 714,Satin,Smooth,Beige,Bedroom
715,Wood Flooring,Wood,INT-10715,Black Wood Flooring Style 715,Gloss,Fabric,Black,Kitchen
716,Chair Fabric,Fabric,INT-10716,Black Chair Fabric Style 716,Polished,Concrete,Black,Lobby
717,Wood Flooring,Wood,INT-10717,Grey Wood Flooring Style 717,High Gloss,Concrete,Grey,Living Room
718,Decor Panel,Panel,INT-10718,Green Decor Panel Style 718,Gloss,Marble,Green,Kitchen
719,Floor Tile,Tile,INT-10719,Red Floor Tile Style 719,Matte,Smooth,Red,Lobby
720,Floor Tile,Tile,INT-10720,Grey Floor Tile Style 720,Satin,Pattern,Grey,Lobby
721,Wood Flooring,Wood,INT-10721,Olive Wood Flooring Style 721,High Gloss,Woodgrain,Olive,Kitchen
722,Kitchen Countertop,Stone,INT-10722,Ivory Kitchen Countertop Style 722,Natural,Pattern,Ivory,Living Room
723,Wardrobe Panel,Panel,INT-10723,Navy Wardrobe Panel Style 723,Natural,Woodgrain,Navy,Dining
724,Wood Flooring,Wood,INT-10724,Olive Wood Flooring Style 724,Satin,Fabric,Olive,Kitchen
725,Floor Tile,Tile,INT-10725,Cream Floor Tile Style 725,Gloss,Smooth,Cream,Lobby
726,False Ceiling,Gypsum,INT-10726,Navy False Ceiling Style 726,Matte,Linear,Navy,Dining
727,Chair Fabric,Fabric,INT-10727,Yellow Chair Fabric Style 727,Natural,Stone,Yellow,Kitchen
728,TV Unit Panel,Panel,INT-10728,Beige TV Unit Panel Style 728,Satin,Concrete,Beige,Dining
729,Wardrobe Finish,Laminate,INT-10729,Teak Wardrobe Finish Style 729,Natural,Marble,Teak,Kitchen
730,Marble Flooring,Marble,INT-10730,Terracotta Marble Flooring Style 730,Matte,Concrete,Terracotta,Bathroom
731,TV Unit Panel,Panel,INT-10731,Navy TV Unit Panel Style 731,High Gloss,Woodgrain,Navy,Bathroom
732,Marble Flooring,Marble,INT-10732,Green Marble Flooring Style 732,Gloss,Stone,Green,Bathroom
733,Wardrobe Finish,Laminate,INT-10733,Oak Wardrobe Finish Style 733,Textured,Stone,Oak,Living Room
734,False Ceiling,Gypsum,INT-10734,White False Ceiling Style 734,Matte,Smooth,White,Kitchen
735,Wall Panel,Panel,INT-10735,Olive Wall Panel Style 735,Polished,Marble,Olive,Bathroom
736,Chair Fabric,Fabric,INT-10736,Teak Chair Fabric Style 736,Natural,Concrete,Teak,Kitchen
737,TV Unit Panel,Panel,INT-10737,Mahogany TV Unit Panel Style 737,Textured,Marble,Mahogany,Office
738,Wall Paint,Paint,INT-10738,Ivory Wall Paint Style 738,Polished,Pattern,Ivory,Bathroom
739,Wardrobe Panel,Panel,INT-10739,White Wardrobe Panel Style 739,Textured,Woodgrain,White,Bedroom
740,Sofa Fabric,Fabric,INT-10740,Terracotta Sofa Fabric Style 740,Textured,Linear,Terracotta,Kitchen
741,Wood Flooring,Wood,INT-10741,Red Wood Flooring Style 741,Natural,Pattern,Red,Bathroom
742,Wardrobe Panel,Panel,INT-10742,Light Oak Wardrobe Panel Style 742,Textured,Woodgrain,Light Oak,Living Room
743,Wood Flooring,Wood,INT-10743,Teak Wood Flooring Style 743,Satin,Smooth,Teak,Lobby
